Assistant, Bug_ID, Type, Correction Frequency, Percentage
Copilot, javascript:S4125, Injected, 9/10, 90.0%
Copilot, javascript:S7736, Injected, 8/10, 80.0%
Copilot, javascript:S6523, Injected, 7/10, 70.0%
Copilot, javascript:S1226, Injected, 8/10, 80.0%
Copilot, javascript:S930, Injected, 10/10, 100.0%
Copilot, javascript:S3500, Injected, 10/10, 100.0%
Copilot, javascript:S2999, Pre-existing, 0/10, 0.0%
Cursor, javascript:S4125, Injected, 10/10, 100.0%
Cursor, javascript:S7736, Injected, 8/10, 80.0%
Cursor, javascript:S6523, Injected, 10/10, 100.0%
Cursor, javascript:S1226, Injected, 10/10, 100.0%
Cursor, javascript:S930, Injected, 10/10, 100.0%
Cursor, javascript:S3500, Injected, 10/10, 100.0%
Cursor, javascript:S2999, Pre-existing, 0/10, 0.0%
