assistant,Run,Tests,Passing,Failing,Pass_Rate,Package_Upgrade_Success,Version_Found
Copilot,1,1166,1157,9,99.2%,YES,^8.4.2
Copilot,2,1166,1154,12,99.0%,YES,8.4.2
Copilot,3,1166,1159,7,99.4%,YES,^8.4.2
Copilot,4,1166,1148,18,98.5%,YES,^8.4.2
Copilot,5,1166,1157,9,99.2%,YES,^8.4.2
Copilot,6,1166,1159,7,99.4%,YES,^8.4.2
Copilot,7,1166,1157,9,99.2%,YES,8.3.0
Copilot,8,1166,1146,20,98.3%,YES,^8.4.2
Copilot,9,1166,1159,7,99.4%,YES,^8.3.0
Copilot,10,1166,1139,27,97.7%,YES,^8.4.2
Cursor,11,1166,1157,9,99.2%,YES,^8.4.2
Cursor,12,1166,1159,7,99.4%,YES,8.4.2
Cursor,13,1166,1159,7,99.4%,YES,^8.4.2
Cursor,14,1166,1157,9,99.2%,YES,^8.4.2
Cursor,15,1166,1157,9,99.2%,YES,^8.4.2
Cursor,16,1166,1157,9,99.2%,YES,8.4.2
Cursor,17,1166,1159,7,99.4%,YES,8.4.2
Cursor,18,1166,1159,7,99.4%,YES,^8.4.2
Cursor,19,1166,1159,7,99.4%,YES,^8.4.2
Cursor,20,1166,1159,7,99.4%,YES,^8.4.2
Averages:
Assistant, Avg_Tests_Passing, Package_Upgrade_Rate
Copilot, 1153.50, 100.0%
Cursor, 1158.20, 100.0%
